rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,grand_total,air_transport,air_taxi,positioning_flights,local_movements,test_and_training,other_flights,aero_club,private_flights,official,military,business_aviation
16/05/2023 11:01,202303,London Area Airports,GATWICK,18896,18542,4,262,5,29,16,0,0,2,0,40
16/05/2023 11:01,202303,London Area Airports,HEATHROW,36882,36698,29,154,0,0,13,0,17,0,0,0
16/05/2023 11:01,202303,London Area Airports,LONDON CITY,4526,4474,296,44,0,8,0,0,0,0,0,0
16/05/2023 11:01,202303,London Area Airports,LUTON,10063,7704,0,36,0,0,65,0,0,0,0,2258
16/05/2023 11:01,202303,London Area Airports,SOUTHEND,2413,53,38,20,10,42,11,1118,1072,4,2,81
16/05/2023 11:01,202303,London Area Airports,STANSTED,14501,13331,129,400,0,7,72,0,0,7,8,676
16/05/2023 11:01,202303,Miscellaneous,EDMISTON LONDON HELIPORT,575,203,203,129,0,0,88,0,128,8,6,13
16/05/2023 11:01,202303,Non UK Reporting Airports,ALDERNEY,428,309,2,1,62,0,2,42,12,0,0,0
16/05/2023 11:01,202303,Non UK Reporting Airports,GUERNSEY,2072,1236,27,114,210,8,15,234,203,0,0,52
16/05/2023 11:01,202303,Non UK Reporting Airports,ISLE OF MAN,1172,973,186,12,0,4,0,34,149,0,0,0
16/05/2023 11:01,202303,Non UK Reporting Airports,JERSEY,2273,1381,0,30,0,11,419,385,0,35,12,0
16/05/2023 11:01,202303,Other UK Airports,ABERDEEN,6217,5226,406,264,7,238,203,266,0,0,9,4
16/05/2023 11:01,202303,Other UK Airports,BARRA,96,96,0,0,0,0,0,0,0,0,0,0
16/05/2023 11:01,202303,Other UK Airports,BELFAST CITY (GEORGE BEST),2166,2118,24,35,0,0,0,0,13,0,0,0
16/05/2023 11:01,202303,Other UK Airports,BELFAST INTERNATIONAL,4072,3202,33,56,0,26,391,0,0,78,319,0
16/05/2023 11:01,202303,Other UK Airports,BENBECULA,232,166,2,9,14,0,35,0,6,0,0,2
16/05/2023 11:01,202303,Other UK Airports,BIGGIN HILL,2435,1037,985,46,132,0,0,440,485,0,3,292
16/05/2023 11:01,202303,Other UK Airports,BIRMINGHAM,6178,5890,188,0,0,5,261,0,20,2,0,0
16/05/2023 11:01,202303,Other UK Airports,BLACKPOOL,2747,442,96,36,0,48,0,1760,385,0,42,34
16/05/2023 11:01,202303,Other UK Airports,BOURNEMOUTH,1265,340,41,22,0,32,315,142,296,0,5,113
16/05/2023 11:01,202303,Other UK Airports,BRISTOL,5225,4634,99,49,0,3,222,298,0,13,6,0
16/05/2023 11:01,202303,Other UK Airports,CAMBRIDGE,897,0,0,0,137,0,0,587,49,0,16,108
16/05/2023 11:01,202303,Other UK Airports,CAMPBELTOWN,111,76,0,0,0,5,10,0,16,0,0,4
16/05/2023 11:01,202303,Other UK Airports,CARDIFF WALES,954,429,3,40,0,26,0,250,195,0,14,0
16/05/2023 11:01,202303,Other UK Airports,CITY OF DERRY (EGLINTON),567,227,2,13,28,60,0,124,87,0,16,12
16/05/2023 11:01,202303,Other UK Airports,COVENTRY,2350,10,10,0,0,2195,0,0,145,0,0,0
16/05/2023 11:01,202303,Other UK Airports,DUNDEE,732,130,17,28,2,68,48,428,0,0,0,28
16/05/2023 11:01,202303,Other UK Airports,EAST MIDLANDS INTERNATIONAL,4577,3427,0,408,1,11,154,0,38,0,4,534
16/05/2023 11:01,202303,Other UK Airports,EDINBURGH,8560,8208,54,97,0,2,4,0,235,0,14,0
16/05/2023 11:01,202303,Other UK Airports,EXETER,1483,427,1,22,191,51,36,320,312,3,14,107
16/05/2023 11:01,202303,Other UK Airports,GLASGOW,5621,4733,105,100,6,43,288,410,0,0,17,24
16/05/2023 11:01,202303,Other UK Airports,GLOUCESTERSHIRE,4470,75,75,110,140,810,41,2189,985,0,15,105
16/05/2023 11:01,202303,Other UK Airports,HAWARDEN,1491,0,0,0,128,23,91,711,377,0,100,61
16/05/2023 11:01,202303,Other UK Airports,HUMBERSIDE,1091,354,8,85,0,415,158,0,43,0,28,8
16/05/2023 11:01,202303,Other UK Airports,INVERNESS,1619,912,17,33,44,66,117,310,70,0,28,39
16/05/2023 11:01,202303,Other UK Airports,ISLAY,168,105,3,3,1,2,34,0,17,0,0,6
16/05/2023 11:01,202303,Other UK Airports,ISLES OF SCILLY (ST.MARYS),529,476,8,13,0,0,0,0,32,8,0,0
16/05/2023 11:01,202303,Other UK Airports,KIRKWALL,887,781,0,15,11,8,58,0,14,0,0,0
